Outlet Inventory Sheet,,,,,,,
Salamander Washington DC,,,,,,,
,,,,,Period :,________________,
5226,"Soda, BIB Fanta Orange (2.5 GAL)",,$108.07 ,_________,BOX,3,No Par
,,,,,,,
56886,"Soda, BIB Powerade Blue  (2.5 GAL)",,$106.42 ,_________,BOX,3,No Par
,,,,,,,
58246,"Other, BIB Lemonade 10% 4:1 (3/1 GAL)",,$35.44 ,_________,EACH,No Par,No Par
,,,,,,,
94260,"Beverage-Other, Water Virginia Artesian Aluminum Bottle  (24/16 OZ)",,$17.76 ,_________,CASE,No Par,No Par
,,,,,,,
Location,20,Cooking Wines/Liquor,,,,,
10734,"Taylor New York, Sherry, ""Golden"", New York, NV, 1.5L (1500ml)",,$7.37 ,_________,EACH,No Par,No Par
,,,,,,,
10733,"Taylor New York, Port, New York, NV, 1.5L (1500ml)",,$9.41 ,_________,EACH,No Par,No Par
,,,,,,,
10735,"Taylor New York, ""Madeira"", New York, NV (750ml)",,$5.34 ,_________,EACH,No Par,No Par
,,,,,,,
7976,"Paul Masson, ""Marsala"", California, NV (750 ml)",,$6.06 ,_________,EACH,No Par,No Par
,,,,,,,
1408,"Brandy, Christian Brothers, VS, California, 1.75L (1750 ml)",,$16.77 ,_________,EACH,No Par,No Par
,,,,,,,
Location,21,Coffee/Tea,,,,,
58252,"Coffee/Tea, Tea Bag Earl Grey Crème Organic Mighty Leaf Tea & Co (100 BG.)",,$40.93 ,_________,BOX,6,No Par
,,,,,,,
58251,"Coffee/Tea, Tea Bag Chamomile Yuza Organic Mighty Leaf Tea & Co (100 BG.)",,$40.16 ,_________,BOX,6,No Par
,,,,,,,
58256,"Coffee/Tea, Tea Bag Chai Organic Mighty Leaf Tea & Co (100 BG.)",,$44.00 ,_________,BOX,6,No Par
,,,,,,,
83124,"Coffee/Tea, Tea Darjeeling Estate Organic Mighty Leaf & Co (100 BG)",,$38.45 ,_________,BOX,6,No Par
,,,,,,,
58250,"Coffee/Tea, Tea Bag Breakfast Emperors's Organic Mighty Leaf Tea & Co (100 BG.)",,$38.45 ,_________,BOX,6,No Par
,,,,,,,
58253,"Coffee/Tea, Tea Bag Royal Passion Organic Mighty Leaf Tea & Co (100 BG.)",,$31.81 ,_________,BOX,6,No Par
,,,,,,,
58254,"Coffee/Tea, Tea Bag Blood Orange Roibos Organic Mighty Leaf Tea & Co (100 BG.)",,$36.75 ,_________,BOX,6,No Par
,,,,,,,
58257,"Coffee/Tea, Tea Bag Green Three Rivers Organic Mighty Leaf Tea & Co (100 BG.)",,$27.46 ,_________,BOX,6,No Par
,,,,,,,
2361,"Coffee/Tea, Tea Bag Mint Verbena Organic Mighty Leaf Tea & Co (100 BG.)",,$40.74 ,_________,BOX,6,No Par
,,,,,,,
2323,"Coffee/Tea, Ml Ginger Twist (100 PC)",,$36.75 ,_________,BOX,No Par,No Par
,,,,,,,
2351,"Coffee/Tea, Lipton Hot Tea Bag (10/100 EA)",,$4.19 ,_________,BOX,4,No Par
,,,,,,,
2316,"Coffee/Tea, Tea Iced Black Organic (100/1 OZ)",,$27.46 ,_________,CASE,4,No Par
,,,,,,,
96091,"Coffee/Tea, Coffee Pod Single Espresso Single Tierra Alteco (100 EA)",,$60.35 ,_________,CASE,No Par,No Par
,,,,,,,
79819,"Coffee/Tea, Coffee Lavazza Pod Double Espresso Regular Gold Selection (100 EA)",,$69.27 ,_________,CASE,4,No Par
,,,,,,,
96092,"Coffee/Tea, Coffee Pod Double Espresso Tierra Alteco (100 EA)",,$73.95 ,_________,CASE,No Par,No Par
,,,,,,,
7815,"Coffee/Tea, Coffee Pod Blue Espresso Decaf  (100 EA)",,$55.69 ,_________,CASE,3,No Par
,,,,,,,
96090,"Coffee/Tea, Coffee Espresso Whole Bean Tierra Alteco Organic (6/2.2 LB)",,$126.00 ,_________,CASE,No Par,No Par
,,,,,,,
79818,"Coffee/Tea, Coffee Lavazza Decaf Beans DEK Filter   (12/500 GR)",,$113.83 ,_________,CASE,3,No Par
,,,,,,,
84074,"Coffee/Tea, Coffee Lavazza Ground Il Filtro Classico (20/8 OZ)",,$66.65 ,_________,CASE,No Par,No Par
,,,,,,,
84073,"Coffee/Tea, Coffee Lavazza Ground Dek Filtro Decaf  (20/8 OZ)",,$86.29 ,_________,CASE,8,No Par
,,,,,,,
96089,"Coffee/Tea, Coffee Ground Filter Tierra Alteco Organic (6/8 OZ)",,$33.97 ,_________,CASE,No Par,No Par
,,,,,,,
91012,"Coffee/Tea, Coffee Ground Pike Place Blend Filter Pack Regular (120/0.55 OZ)",,$88.43 ,_________,CASE,1,No Par
,,,,,,,
91428,"Coffee/Tea, Coffee Ground Regular TAC Forte French Roast Fine Grind (24/8 OZ)",,$106.36 ,_________,CASE,6,No Par
,,,,,,,
96936,"Coffee/Tea, Coffee Ground Decaf TAC French Roast Fine Grind (CASE of 24/8oz)",,$97.24 ,_________,CASE,No Par,No Par
,,,,,,,
92086,"Coffee/Tea, Tea Loose Darjeeling Second Flush (1 LB)",,$55.00 ,_________,BAG,No Par,No Par
,,,,,,,
92087,"Coffee/Tea, Tea Loose English Breakfast Regal Decaf (1 LB)",,$29.25 ,_________,BAG,No Par,No Par
,,,,,,,
92088,"Coffee/Tea, Tea Loose Emperor's Dragonwell  (1 LB)",,$45.00 ,_________,BAG,No Par,No Par
,,,,,,,
65152,"Coffee/Tea, Tea Loose Emperor's Jasmine Pearls (1 LB)",,$92.33 ,_________,BAG,No Par,No Par
,,,,,,,
92089,"Coffee/Tea, Tea Loose Emperor's Mint Meritage (1 LB)",,$30.00 ,_________,BAG,No Par,No Par
,,,,,,,
52259,"Coffee/Tea, Tea Loose Berry Meritage (1 LB)",,$30.12 ,_________,BAG,No Par,No Par
,,,,,,,
52253,"Coffee/Tea, Tea Loose Emperor's Chamomile (1 LB)",,$30.00 ,_________,BAG,No Par,No Par
,,,,,,,
52270,"Coffee/Tea, Tea Loose Litchi Noir   (1 LB)",,$32.25 ,_________,BAG,No Par,No Par
,,,,,,,
92085,"Coffee/Tea, Tea Loose Emeror's Golden Assam   (1 LB)",,$29.00 ,_________,BAG,No Par,No Par
,,,,,,,
63203,"Coffee/Tea, Tea Loose Earl Grey Regal Organic (1 LB)",,$29.00 ,_________,BAG,No Par,No Par
,,,,,,,
Location,23,Shelf 12,,,,,
7992,"Beverage-Other, Fever Tree Soda Water (24/6.8 Oz)",,$27.10 ,_________,CASE,24,No Par
,,,,,,,
7993,"Beverage-Other, Fever Tree Ginger Ale (24/6.8 Oz)",,$29.55 ,_________,CASE,24,No Par
,,,,,,,
7995,"Beverage-Other, Fever Tree Tonic Water (24/6.8 Oz)",,$26.45 ,_________,CASE,24,No Par
,,,,,,,
7994,"Other, Fever Tree Ginger Beer (24/6.8 Oz)",,$25.71 ,_________,CASE,24,No Par
,,,,,,,
97277,"Beverage Other, Fever Tree Pink Grapefruit Soda (Case)",,$24.25 ,_________,CASE,No Par,No Par
,,,,,,,
Location,22,Bread Shelf,,,,,
7728,"Bread/Roll/Pastry, Bread, White Sliced (Loaf (32oz))",,$2.60 ,_________,LOAF,12,No Par
,,,,,,,
7727,"Bread/Roll/Pastry, Bread, Wheat Sliced (Loaf (32oz))",,$2.81 ,_________,LOAF,12,No Par
,,,,,,,
7726,"Bread/Roll/Pastry, Bread, Sourdough Sliced (Loaf (28oz))",,$3.99 ,_________,LOAF,4,No Par
,,,,,,,
7725,"Bread/Roll/Pastry, Bread, Rye Sliced (Loaf)",,$4.75 ,_________,LOAF,4,No Par
,,,,,,,
7722,"Bread/Roll/Pastry, Bread, Multigrain Sliced (Loaf)",,$4.75 ,_________,LOAF,8,No Par
,,,,,,,
Location,12,Chiller,,,,,
3301,"Milk/Cream, Milk Skim/Fat-Free (4 GAL)",,$3.97 ,_________,CONTAINER,20,No Par
,,,,,,,
3297,"Milk/Cream, Milk 2% (4/1 GA)",,$4.40 ,_________,JUG,20,No Par
,,,,,,,
3300,"Milk/Cream, Milk HVD (4 GAL)",,$4.97 ,_________,JUG,24,No Par
,,,,,,,
3294,"Milk/Cream, Half & Half (16/ 32 OZ)",,$1.97 ,_________,CARTON,80,No Par
,,,,,,,
3292,"Milk/Cream, Cream Heavy Fresh (16 QT)",,$3.71 ,_________,CARTON,80,No Par
,,,,,,,
2103,"Cheese, Cream Whipped (6/3 LB)",,$10.95 ,_________,TUB,18,No Par
,,,,,,,
97231,Castelvetrano Olives with Pits (1/10 LB per case),,$42.08 ,_________,CASE,No Par,No Par
,,,,,,,
2138,"Cheese, Mascarpone (4/5 LB)",,$38.40 ,_________,PACK,8,No Par
,,,,,,,
2099,"Cheese, Cream (6/3 LB)",,$12.03 ,_________,LOAF,18,No Par
,,,,,,,
3379,"Other, Butter Unsalted (36/1 LB)",,$3.31 ,_________,PIECE,108,No Par
,,,,,,,
3378,"Other, Butter Sweet Unsalted European Style Plugra (36/1 LBA)",,$170.98 ,_________,CASE,No Par,No Par
,,,,,,,
3371,"Other, Butter Oil Clarified (4/5 LB)",,$22.57 ,_________,TUB,8,No Par
,,,,,,,
2704,Egg YOLK Liquid (15/1 LB),,$4.32 ,_________,CONTAINER,15,No Par
,,,,,,,
3587,"Produce-Other, Juice Lime (6/32 OZ)",,$5.00 ,_________,CARTON,No Par,No Par
,,,,,,,
3235,"Produce-Other, Juice Lemon (16/32 OZ)",,$3.51 ,_________,CARTON,16,No Par
,,,,,,,
4551,"Produce, Lime (54 CT )",,$0.40 ,_________,PIECE,162,No Par
,,,,,,,
4515,"Produce, Lemon, Choice (165 CT)",,$0.25 ,_________,PIECE,330,No Par
,,,,,,,
95113,"Egg, Shell Large Grade A White Cage-Free Loose Pack Fresh (15 DZ)",,$60.96 ,_________,CASE,No Par,No Par
,,,,,,,
21369,Egg WHOLE Liquid Cage Free (15/2 LB),,$5.06 ,_________,EACH,No Par,No Par
,,,,,,,
95115,Egg WHITE Liquid Cage Free (15/2 LB),,$5.87 ,_________,CARTON,No Par,No Par
,,,,,,,
3541,"Produce-Other, Juice Grapefruit (4/1 GL)",,$8.20 ,_________,JUG,12,No Par
,,,,,,,
3625,"Produce-Other, Juice Orange  (4/1 GL)",,$10.81 ,_________,JUG,40,No Par
,,,,,,,
Location,13,Freezer,,,,,
1850,"Bread/Pastry/Dough, Danish Mini Assorted (120/1.6 OZ)",,$56.35 ,_________,CASE,4,No Par
,,,,,,,
3424,"Other, Chicken Tender Fritter Frozen (2/5 LB Case)",,$40.21 ,_________,CASE,No Par,No Par
,,,,,,,
61562,"Sausage/Bacon, Chicken Apple Link 2 Oz 4"" Raw Frozen (10 LB)",,$61.31 ,_________,CASE,20,No Par
,,,,,,,
62368,"Sausage/Bacon, Sausage Pork Link 2 OZ Raw Frozen Logan's (10 LB)",,$45.20 ,_________,CASE,8,No Par
,,,,,,,
4983,"Sausage/Bacon, Bacon Layflat Applewood Smoked 13/17 count (2/10LB/CA)",,$126.95 ,_________,CASE,15,No Par
,,,,,,,
91016,"Frozen-Other, Potato French Fries Stealth Slim Skin-on (6/5 LB)",,$59.87 ,_________,CASE,15,No Par
,,,,,,,
90330,"Other, Potatoes Red Diced Rosemary Garlic Skin-On Cooked (6/2.5 LB)",,$51.31 ,_________,CASE,20,No Par
,,,,,,,
1911,"Bread/Rolls/Tortillas, Bread White Sliced Gluten Free (6/30 OZ)",,$11.61 ,_________,LOAF,18,No Par
,,,,,,,
1878,"Bread/Pastry/Dough, Muffin, English, Original, 2oz (6/12 EA)",,$4.30 ,_________,SLEEVE,18,No Par
,,,,,,,
1894,"Bread/Pastry/Dough, Bread Rolls Dinner Assorted Parbaked (96/1.5 OZ)",,$62.33 ,_________,CASE,No Par,No Par
,,,,,,,
91011,"Dairy, Butter Ball Unsalted 0.25oz (6/3 LB)",,$19.36 ,_________,BAG,2,No Par
,,,,,,,
Taken By:,,,,Date :,,,
Key Entered By:,,,,Date:,,,
Generated On :," Thursday, 06 Apr 2023 11:26:01",,Outlet Inventory Sheet,,,,1-Jan
